8/14/2014 19:15:13 -- PID=6232 -- Error with throughput -- java.lang.NullPointerException [edu.stanford.slac.pinger.etl.extractor.pingtabe.PingtableCSVDownloader.run(PingtableCSVDownloader.java:27), edu.stanford.slac.pinger.main.GetPingtableCSV.downlaodCSVFiles(GetPingtableCSV.java:77), edu.stanford.slac.pinger.main.GetPingtableCSV.start(GetPingtableCSV.java:35), edu.stanford.slac.pinger.main.GetPingtableCSV.main(GetPingtableCSV.java:24)] 
8/14/2014 19:15:15 -- PID=3748 -- Error with throughput -- java.lang.NullPointerException [edu.stanford.slac.pinger.etl.extractor.pingtabe.PingtableCSVDownloader.run(PingtableCSVDownloader.java:27), edu.stanford.slac.pinger.main.GetPingtableCSV.downlaodCSVFiles(GetPingtableCSV.java:77), edu.stanford.slac.pinger.main.GetPingtableCSV.start(GetPingtableCSV.java:35), edu.stanford.slac.pinger.main.GetPingtableCSV.main(GetPingtableCSV.java:24)] 
8/14/2014 19:15:15 -- PID=7236 -- Error with throughput -- java.lang.NullPointerException [edu.stanford.slac.pinger.etl.extractor.pingtabe.PingtableCSVDownloader.run(PingtableCSVDownloader.java:27), edu.stanford.slac.pinger.main.GetPingtableCSV.downlaodCSVFiles(GetPingtableCSV.java:77), edu.stanford.slac.pinger.main.GetPingtableCSV.start(GetPingtableCSV.java:35), edu.stanford.slac.pinger.main.GetPingtableCSV.main(GetPingtableCSV.java:24)] 
8/14/2014 19:15:16 -- PID=7808 -- Error with throughput -- java.lang.NullPointerException [edu.stanford.slac.pinger.etl.extractor.pingtabe.PingtableCSVDownloader.run(PingtableCSVDownloader.java:27), edu.stanford.slac.pinger.main.GetPingtableCSV.downlaodCSVFiles(GetPingtableCSV.java:77), edu.stanford.slac.pinger.main.GetPingtableCSV.start(GetPingtableCSV.java:35), edu.stanford.slac.pinger.main.GetPingtableCSV.main(GetPingtableCSV.java:24)] 
8/14/2014 19:15:17 -- PID=7428 -- Error with throughput -- java.lang.NullPointerException [edu.stanford.slac.pinger.etl.extractor.pingtabe.PingtableCSVDownloader.run(PingtableCSVDownloader.java:27), edu.stanford.slac.pinger.main.GetPingtableCSV.downlaodCSVFiles(GetPingtableCSV.java:77), edu.stanford.slac.pinger.main.GetPingtableCSV.start(GetPingtableCSV.java:35), edu.stanford.slac.pinger.main.GetPingtableCSV.main(GetPingtableCSV.java:24)] 
8/14/2014 19:16:16 -- PID=7808 -- Error with throughput -- java.lang.NullPointerException [edu.stanford.slac.pinger.etl.extractor.pingtabe.PingtableCSVDownloader.run(PingtableCSVDownloader.java:27), edu.stanford.slac.pinger.main.GetPingtableCSV.downlaodCSVFiles(GetPingtableCSV.java:77), edu.stanford.slac.pinger.main.GetPingtableCSV.start(GetPingtableCSV.java:35), edu.stanford.slac.pinger.main.GetPingtableCSV.main(GetPingtableCSV.java:24)] 
8/14/2014 19:16:17 -- PID=564 -- Error with throughput -- java.lang.NullPointerException [edu.stanford.slac.pinger.etl.extractor.pingtabe.PingtableCSVDownloader.run(PingtableCSVDownloader.java:27), edu.stanford.slac.pinger.main.GetPingtableCSV.downlaodCSVFiles(GetPingtableCSV.java:77), edu.stanford.slac.pinger.main.GetPingtableCSV.start(GetPingtableCSV.java:35), edu.stanford.slac.pinger.main.GetPingtableCSV.main(GetPingtableCSV.java:24)] 
8/14/2014 19:16:18 -- PID=6448 -- Error with throughput -- java.lang.NullPointerException [edu.stanford.slac.pinger.etl.extractor.pingtabe.PingtableCSVDownloader.run(PingtableCSVDownloader.java:27), edu.stanford.slac.pinger.main.GetPingtableCSV.downlaodCSVFiles(GetPingtableCSV.java:77), edu.stanford.slac.pinger.main.GetPingtableCSV.start(GetPingtableCSV.java:35), edu.stanford.slac.pinger.main.GetPingtableCSV.main(GetPingtableCSV.java:24)] 
8/14/2014 19:16:18 -- PID=7816 -- Error with throughput -- java.lang.NullPointerException [edu.stanford.slac.pinger.etl.extractor.pingtabe.PingtableCSVDownloader.run(PingtableCSVDownloader.java:27), edu.stanford.slac.pinger.main.GetPingtableCSV.downlaodCSVFiles(GetPingtableCSV.java:77), edu.stanford.slac.pinger.main.GetPingtableCSV.start(GetPingtableCSV.java:35), edu.stanford.slac.pinger.main.GetPingtableCSV.main(GetPingtableCSV.java:24)] 
8/14/2014 19:16:19 -- PID=7756 -- Error with throughput -- java.lang.NullPointerException [edu.stanford.slac.pinger.etl.extractor.pingtabe.PingtableCSVDownloader.run(PingtableCSVDownloader.java:27), edu.stanford.slac.pinger.main.GetPingtableCSV.downlaodCSVFiles(GetPingtableCSV.java:77), edu.stanford.slac.pinger.main.GetPingtableCSV.start(GetPingtableCSV.java:35), edu.stanford.slac.pinger.main.GetPingtableCSV.main(GetPingtableCSV.java:24)] 
