#id,node_name,node_ip,latitude,longitude,nick_name,full_name,site_name,project_type
53,pinger.uob.edu.pk,121.52.157.112",30.165,66.9908,PK.UOB.EDU.N3,University of Balochistan,uob.edu.pk,M,
54,pinger.usindh.edu.pk,121.52.154.50",25.41817,68.262133,PK.USINDH.EDU.N2,University of Sindh, Jamshoro,usindh.edu.pk,M,
55,pinger.uum.edu.my,103.5.183.14",6.461,100.5043,MY.UUM.EDU.PINGER,University Utara Malaysia,uum.edu.my,M,
56,pinger.vu.edu.pk,111.68.103.35",31.4008088,74.21349138,PK.VU.EDU,Virtual University,vu.edu.pk,M,
57,pinger2.if.ufrj.br,146.164.36.25",-22.859,-43.2310,BR.UFRJ.PINGER,Universidade Federal do Rio de Janeiro,if.ufrj.br,M,
58,pinger2.unimas.my,49.50.236.121",1.465,110.4274,MY.UNIMAS.RASPBERRY,University Malaysia, Sarawak,unimas.my,M,
59,pingerfsbd.pern.edu.pk,121.52.153.242",31.433807,73.0689096,PK.PERNFSBDPOP.EDU.N1,PERN2 POP FAISALABAD,pern.edu.pk,M,
60,pingerisl-air.pern.edu.pk,111.68.106.242",33.718,73.0605,PK.PINGERISL-AIR.PERN_EDU.N1,HEC PoP office located at AIR University,isl-air.pern.edu.pk,M,
61,pingerisl-fjwu.pern.edu.pk,111.68.106.250",33.58584,73.064719,PK.PINGERISL-FJWU.PERN.EDU,PERN PoP, Fatima Jinnah Women University,pern.edu.pk,M,
62,pingerisl-qau.pern.edu.pk,111.68.106.246",33.74617,73.135705,PK.PINGERISL-QAU.PERN.EDU,PERN PoP, Quaid-e-Azam university,pern.edu.pk,M,
63,pingerjms.pern.edu.pk,121.52.154.11",25.417,68.2627,PK.PERNSINDHUPOP.EDU.N2,Sindh University, Jamshoro,pern.edu.pk,M,
64,pingerkhi-cpsp.pern.edu.pk,111.68.107.246",24.837604,67.0588744,PK.PINGERKHI-CPSP.PERN.EDU,College of Physician and Surgeon,pern.edu.pk,M,
65,pingerkhi-uok.pern.edu.pk,111.68.107.242",24.940023,67.12093,PK.PINGERKHI-UOK.PERN.EDU,University of Karachi,pern.edu.pk,M,
66,pingerkhi.pern.edu.pk,111.68.108.11",24.888177,67.065914,PK.PERNKHIPOP.EDU.N2,PoP PERN, HEC Regional Office, Karachi,pern.edu.pk,M,
67,pingerlhr-gcu.pern.edu.pk,111.68.102.210",31.574,74.3076,PK.PINGERLHR-GCU.PERN.EDU,Government College University,pern.edu.pk,M,
68,pingerlhr-pu.pern.edu.pk,111.68.102.214",31.5030,74.308098,PK.PINGERLHR-PU.PERN.EDU,Punjab University,pern.edu.pk,M,
69,pingerlhr.pern.edu.pk,111.68.105.106",31.51071,74.352967,PK.PERNLHRPOP.EDU.N1,PERN POP LAHORE,pern.edu.pk,M,
70,pingermtn.pern.edu.pk,121.52.158.210",30.26972,71.506455,PK.PERNMTNPOP.EDU.N2,PERN2 BZU Multan PoP,pern.edu.pk,MB,
71,pingerpwr.pern.edu.pk,121.52.150.242",33.99115,71.442767,PK.PERNPWRPOP.EDU.N2,HEC, RC Peshawar,pern.edu.pk,M,
72,pingerqta.pern.edu.pk,121.52.157.157",30.26956,66.939694,PK.PINGERQTA.PERN.EDU.N2,HEC  Quetta Regional Centre,pern.edu.pk,M,
73,quest.seecs.edu.pk,121.52.155.122",26.23594,68.390089,PK.QUEST.SEECS.EDU,Quaid-e-Awam University of Engineering, Science and Technology,seecs.edu.pk,M,
74,rainbow.inp.nsk.su,84.237.43.50",54.848,83.1125,RU.NSK.N1,Institute for Nuclear Physics,nsk.su,MWB,
75,sau.seecs.edu.pk,121.52.155.69",25.433,68.5573,PK.SAU.SEECS.EDU,Sindh Agriculture University,seecs.edu.pk,M,
76,sitka.triumf.ca,142.90.106.59",49.247,-123.2308,CA.TRIUMF.N4,TRIUMF Facility,triumf.ca,MB,
77,t2-monitor.ultralight.org,192.84.86.114",34.138,-118.1244,ORG.CALTECH.ULTRALIGHT.N1,Caltech HEP Ultralight,,ultralight.org,M,
78,ultralog.ampath.net,198.32.252.3",25.7,-80.90,NET.AMPATH.N2,Florida International University,ampath.net,M,
79,v-www.ihep.ac.cn,202.38.128.7",39.9,116.4,CN.AC.N3,Institute of High Energy Physics Chinese Academy of Sciences,ihep.ac.cn,M,
80,web.hepgrid.uerj.br,200.143.196.20",-22.979,-43.2035,BR.HEPGRID.UERJ.N2,Universidade do Estado do Rio de Janeiro,uerj.br,M,
81,www.ihep.ac.cn,202.38.128.8",39.9,116.43,CN.IHEP.AC.N3,Beijing Institute of High Energy Physics,ihep.ac.cn,NOT-SET,
82,www.univ-ouaga.bf,212.52.131.9",12.378,-1.4997,BF.UNIV-OUAGA.N1,Universite de Ouagadougou,univ-ouaga.bf,MB,
83,www.upesh.edu.pk,121.52.147.5",34.0,71.48,PK.UPESH.EDU.N2,University of Peshawar,upesh.edu.pk,M,

